Time(ms),x,y,z,qx,qy,qz,qw
84992,-0.9099774,-1.5772552,-0.3433625,0.0743432,0.7182619,-0.0934922,0.6855844
85034,-0.9118771,-1.5785379,-0.3368314,0.0742202,0.7219853,-0.0936578,0.6815791
85063,-0.9227201,-1.5800321,-0.3245561,0.0708828,0.7261981,-0.0931536,0.6775308
85102,-0.9289117,-1.5809246,-0.3153443,0.0697139,0.7290581,-0.0926088,0.6746583
85131,-0.9365196,-1.5815358,-0.3046457,0.0678007,0.7320566,-0.0920547,0.6717147
85161,-0.9416990,-1.5812064,-0.2953287,0.0677455,0.7341956,-0.0921112,0.6693776
85199,-0.9466541,-1.5805628,-0.2865834,0.0688842,0.7358913,-0.0934617,0.6672087
85229,-0.9525828,-1.5798199,-0.2768809,0.0708880,0.7373679,-0.0950889,0.6651438
85268,-0.9567919,-1.5788132,-0.2692458,0.0749251,0.7379019,-0.0969341,0.6638120
85298,-0.9621684,-1.5781081,-0.2606849,0.0786576,0.7388129,-0.0980526,0.6622052
85339,-0.9656919,-1.5776496,-0.2550823,0.0821531,0.7391391,-0.0976344,0.6614635
85353,-0.9707791,-1.5773891,-0.2481744,0.0850327,0.7393628,-0.0962797,0.6610529
85396,-0.9713252,-1.5775768,-0.2483191,0.0863238,0.7383918,-0.0935485,0.6623174
85438,-0.9765537,-1.5777274,-0.2423591,0.0880645,0.7383345,-0.0912334,0.6624871
85453,-0.9808896,-1.5782728,-0.2390859,0.0894226,0.7371277,-0.0876482,0.6641207
85494,-0.9812320,-1.5791051,-0.2417381,0.0894106,0.7350445,-0.0842287,0.6668307
85533,-0.9853879,-1.5797602,-0.2397243,0.0901661,0.7331357,-0.0806447,0.6692829
85564,-0.9888988,-1.5805602,-0.2402571,0.0900932,0.7299268,-0.0768567,0.6732414
85604,-0.9914464,-1.5812176,-0.2432469,0.0890165,0.7263648,-0.0735572,0.6775978
85632,-0.9948525,-1.5818353,-0.2461250,0.0878011,0.7230253,-0.0696918,0.6817737
85661,-0.9969492,-1.5824208,-0.2512099,0.0856654,0.7204403,-0.0663787,0.6851239
85701,-0.9991834,-1.5832845,-0.2560617,0.0837314,0.7184992,-0.0628205,0.6877679
85728,-1.0021865,-1.5849077,-0.2613719,0.0816144,0.7166963,-0.0584695,0.6903617
85768,-1.0035390,-1.5873657,-0.2678207,0.0785696,0.7164651,-0.0546336,0.6912659
85798,-1.0059098,-1.5903000,-0.2747054,0.0740080,0.7163130,-0.0482927,0.6924630
85840,-1.0069313,-1.5935644,-0.2817424,0.0678364,0.7172045,-0.0405806,0.6926632
85854,-1.0087391,-1.5976439,-0.2894079,0.0581444,0.7179838,-0.0287289,0.6934553
85910,-1.0083570,-1.6008329,-0.2940816,0.0479144,0.7195742,-0.0180437,0.6927869
